ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:1902931	negative regulation of alcohol biosynthetic process	13	0.924084515601644	1.43329208342526	0.000883247882086625	0.0303178240810396	0.0260303507633901	915	tags=38%, list=4%, signal=37%	PLEK/NFKB1/REST/APOE/SOD1
GO:0010958	regulation of amino acid import across plasma membrane	18	0.894394074006733	1.42354898814872	0.000537874240071514	0.0226174811107895	0.0194189716624944	2564	tags=50%, list=10%, signal=45%	RGS2/SLC7A5/ITGB1/SLC38A1/ARL6IP5/ARL6IP1/TNF/SLC43A2/PSEN1
GO:1903789	regulation of amino acid transmembrane transport	18	0.894394074006733	1.42354898814872	0.000537874240071514	0.0226174811107895	0.0194189716624944	2564	tags=50%, list=10%, signal=45%	RGS2/SLC7A5/ITGB1/SLC38A1/ARL6IP5/ARL6IP1/TNF/SLC43A2/PSEN1
GO:1903306	negative regulation of regulated secretory pathway	25	0.864070562365605	1.41605110874365	0.000469493794883433	0.0213481590261702	0.0183291540355421	1366	tags=52%, list=5%, signal=49%	REST/CD84/RAP1A/BRAF/SPI1/NCKAP1L/LGALS9/RABGEF1/RAP1B/HMOX1/FCGR2B/STXBP3/GNAI2
GO:1900117	regulation of execution phase of apoptosis	25	0.86053199742117	1.41025205825961	0.000493372726276452	0.0219497621531912	0.0188456799041153	744	tags=24%, list=3%, signal=23%	MTRNR2L12/MTRNR2L8/TP53BP2/PAK2/ZC3H12A/MTRNR2L1
GO:1900118	negative regulation of execution phase of apoptosis	17	0.889953288400598	1.40802994130082	0.000939185498257295	0.0313941790336384	0.0269544902031852	744	tags=24%, list=3%, signal=23%	MTRNR2L12/MTRNR2L8/PAK2/MTRNR2L1
GO:0048557	embryonic digestive tract morphogenesis	16	0.893608880774528	1.40774200623552	0.00161379384300379	0.0439170068779558	0.0377063700368368	209	tags=12%, list=1%, signal=12%	ID2/NIPBL
GO:0072224	metanephric glomerulus development	14	0.90453055077054	1.4068254819849	0.00175538432885475	0.0463901567933238	0.0398297730757686	3	tags=7%, list=0%, signal=7%	PDGFB
GO:0071639	positive regulation of monocyte chemotactic protein-1 production	14	0.90114570044932	1.40156099016587	0.00189422686400189	0.0482053453785503	0.0413882620837148	852	tags=43%, list=3%, signal=41%	SELENOK/MCOLN2/CD84/CLEC7A/IL1B/LGALS9
GO:0032743	positive regulation of interleukin-2 production	34	0.834344654360452	1.39019321907524	0.000266245611310321	0.0147005612530627	0.0126216434534705	917	tags=38%, list=4%, signal=37%	PLCG2/PDE4B/MALT1/CD83/CD86/IRF4/PNP/CLEC7A/RUNX1/PTPRC/IL1B/CD4/CD80
GO:0002335	mature B cell differentiation	35	0.823627937173013	1.37614872590929	0.000302070842023477	0.0156975301434721	0.0134776234158905	3125	tags=60%, list=12%, signal=53%	PLCG2/GPR183/XBP1/MALT1/BCL3/SPI1/DOCK10/BCL6/IRF8/IL2RG/FCGR2B/ADA/NFKBIZ/CMTM7/DOCK11/LFNG/SLAMF8/ST3GAL1/NOTCH2/PTK2B/IL10
GO:0043367	CD4-positive, alpha-beta T cell differentiation	86	0.786193227235319	1.36884827707189	4.11390066885045e-06	0.000848012057872373	0.000728088244690585	3362	tags=52%, list=13%, signal=46%	GPR183/IL23A/RUNX3/NFKBID/MALT1/CD83/CD86/IRF4/PTGER4/BCL3/KMT2A/BRAF/NCKAP1L/RUNX1/ZC3H12A/BCL6/LGALS9/CD80/SMAD7/FOXP1/LY9/IL2RG/RARA/RELB/NLRP3/FUT7/ENTPD7/CTSL/NFKBIZ/HLA-DRB1/IL18/SEMA4A/RC3H1/IL6R/SPN/GATA3/RIPK2/IL4R/HLA-DRA/ANXA1/CCL19/IL18R1/SOCS1/STAT3/SHB
